Datum,Depth_[m],Temp_[C]
15.02.07,5,5.2
15.02.07,10,5.2
15.02.07,20,5.2
15.02.07,30,5.2
15.02.07,40,5.2
10.05.07,0,15.2
10.05.07,5,14.2
10.05.07,10,8.6
10.05.07,20,6.7
10.05.07,30,6.5
10.05.07,40,6.3
09.08.07,0,19.7
09.08.07,5,19.7
09.08.07,10,16.7
09.08.07,20,8.8
09.08.07,30,6.9
09.08.07,40,6.6
10.10.07,0,16.7
10.10.07,5,16.3
10.10.07,10,16.0
10.10.07,20,8.2
10.10.07,30,7.0
10.10.07,40,6.6
21.02.08,0,4.2
21.02.08,5,4.2
21.02.08,10,4.0
21.02.08,20,4.0
21.02.08,30,4.0
21.02.08,40,4.0
21.05.08,0,15.7
21.05.08,5,15.5
21.05.08,10,10.9
21.05.08,20,6.9
21.05.08,30,6.2
21.05.08,40,5.8
07.08.08,0,24.0
07.08.08,5,23.7
07.08.08,10,11.8
07.08.08,20,7.1
07.08.08,30,6.4
07.08.08,40,6.0
15.10.08,0,15.9
15.10.08,5,13.3
15.10.08,10,12.8
15.10.08,20,7.1
15.10.08,30,6.5
15.10.08,40,6.1
23.02.09,0,2.7
23.02.09,5,2.7
23.02.09,10,2.7
23.02.09,20,2.8
23.02.09,30,2.8
23.02.09,40,2.8
13.05.09,0,17.9
13.05.09,5,13.9
13.05.09,10,8
13.05.09,20,5
13.05.09,30,4.8
13.05.09,40,4.8
19.08.09,0,26.6
19.08.09,5,24.8
19.08.09,10,16.6
19.08.09,20,6.6
19.08.09,30,5.2
19.08.09,40,4.9
14.10.09,0,16.7
14.10.09,5,16.7
14.10.09,10,16.7
14.10.09,20,7.1
14.10.09,30,5.4
14.10.09,40,5
24.02.10,0,2.9
24.02.10,5,2.9
24.02.10,10,2.9
24.02.10,20,2.9
24.02.10,30,2.8
24.02.10,40,3.1
19.05.10,0,12.9
19.05.10,5,12.4
19.05.10,10,9.5
19.05.10,20,6.5
19.05.10,30,6.1
19.05.10,40,5.9
18.08.10,0,19.3
18.08.10,5,19.3
18.08.10,10,14.8
18.08.10,20,7
18.08.10,30,6.3
18.08.10,40,5.9
20.10.10,0,13.4
20.10.10,5,13.3
20.10.10,10,13.3
20.10.10,20,7.4
20.10.10,30,6.4
20.10.10,40,6
16.02.11,0,3.6
16.02.11,5,3.6
16.02.11,10,3.6
16.02.11,20,3.6
16.02.11,30,3.4
16.02.11,40,3.4
18.05.11,0,19.5
18.05.11,5,16.8
